date,GOOGL,AMZN,AVGO,META,MSFT,NVDA,ORCL
2025-08-26,207.14,228.71,298.01,754.1,502.04,181.77,234.21
2025-08-27,207.48,229.12,300.25,747.38,506.74,181.6,235.81
2025-08-28,211.64,231.6,308.65,751.11,509.64,180.17,240.32
2025-08-29,212.91,229.0,297.39,738.7,506.69,174.18,226.13
2025-09-02,211.35,225.34,298.24,735.11,505.12,170.78,225.3
2025-09-03,230.66,225.99,302.39,737.05,505.35,170.62,223.45
2025-09-04,232.3,235.68,306.1,748.65,507.97,171.66,223.0
2025-09-05,235.0,232.33,334.89,752.45,495.0,167.02,232.8
2025-09-08,234.04,235.84,345.65,752.3,498.2,168.31,238.48
2025-09-09,239.63,238.24,336.67,765.7,498.41,170.76,241.51
2025-09-10,239.17,230.33,369.57,751.98,500.37,177.33,328.33
2025-09-11,240.37,229.95,359.63,750.9,501.01,177.17,307.86
2025-09-12,240.8,228.15,359.87,755.59,509.9,177.82,292.18
2025-09-15,251.61,231.43,364.09,764.7,515.36,177.75,302.14
2025-09-16,251.16,234.05,360.0,779.0,509.04,174.88,306.65
2025-09-17,249.53,231.62,346.17,775.72,510.02,170.29,301.41
2025-09-18,252.03,231.23,345.35,780.25,508.45,176.24,296.62
2025-09-19,254.72,231.48,344.94,778.38,517.93,176.67,308.66
2025-09-22,252.53,227.63,338.79,765.16,514.45,183.61,328.15
2025-09-23,251.66,220.71,338.94,755.4,509.23,178.43,313.83
2025-09-24,247.14,220.21,339.31,760.66,510.15,176.97,308.46
2025-09-25,245.79,218.15,336.1,748.91,507.03,177.69,291.33
2025-09-26,246.54,219.78,334.53,743.75,511.46,178.19,283.46
2025-09-29,244.05,222.17,327.9,743.4,514.6,181.85,282.76
2025-09-30,243.1,219.57,329.91,734.38,517.95,186.58,281.24
2025-10-01,244.9,220.63,333.39,717.34,519.71,187.24,289.01
2025-10-02,245.69,222.41,338.18,727.05,515.74,188.89,288.78
2025-10-03,245.35,219.51,338.37,710.56,517.35,187.62,286.14
2025-10-06,250.43,220.9,335.49,715.66,528.57,185.54,291.59
2025-10-07,245.76,221.78,336.41,713.08,523.98,185.04,284.24
2025-10-08,244.62,225.22,345.5,717.84,524.85,189.11,288.63
2025-10-09,241.53,227.74,345.02,733.51,522.4,192.57,296.96
2025-10-10,236.57,216.37,324.63,705.3,510.96,183.16,292.96
2025-10-13,244.15,220.07,356.7,715.7,514.05,188.32,308.01
2025-10-14,245.45,216.39,344.13,708.65,513.57,180.03,299.0
2025-10-15,251.03,215.57,351.33,717.55,513.43,179.83,303.62
2025-10-16,251.46,214.47,354.15,712.07,511.61,181.81,313.0
2025-10-17,253.3,213.04,349.33,716.91,513.58,183.22,291.31
2025-10-20,256.55,216.48,349.24,732.17,516.79,182.64,277.18
2025-10-21,250.46,222.03,342.66,733.27,517.66,181.16,275.15
2025-10-22,251.69,217.95,340.3,733.41,520.54,180.28,272.66
2025-10-23,253.08,221.09,344.29,734.0,520.56,182.16,280.07
2025-10-24,259.92,224.21,354.13,738.36,523.61,186.26,283.33
2025-10-27,269.27,226.97,362.05,750.82,531.52,191.49,281.4
2025-10-28,267.47,229.25,372.97,751.44,542.07,201.03,280.83
2025-10-29,274.57,230.3,385.98,751.67,541.55,207.04,275.3
2025-10-30,281.48,222.86,376.47,666.47,525.76,202.89,256.89
2025-10-31,281.19,244.22,369.63,648.35,517.81,202.49,262.61
2025-11-03,283.72,254.0,362.55,637.71,517.03,206.88,257.85
2025-11-04,277.54,249.32,351.94,627.32,514.33,198.69,248.17
2025-11-05,284.31,250.2,358.98,635.95,507.16,195.21,250.31
2025-11-06,284.75,243.04,355.59,618.94,497.1,188.08,243.8
2025-11-07,278.83,244.41,349.43,621.71,496.82,188.15,239.26
2025-11-10,290.1,248.4,358.39,631.76,506.0,199.05,240.83
2025-11-11,291.31,249.1,351.96,627.08,508.68,193.16,236.15
2025-11-12,286.71,244.2,355.22,609.01,511.14,193.8,226.99
2025-11-13,278.57,237.58,339.98,609.89,503.29,186.86,217.57
2025-11-14,276.41,234.69,342.46,609.46,510.18,190.17,222.85
2025-11-17,285.02,232.87,342.65,602.01,507.49,186.6,219.86
2025-11-18,284.28,222.55,340.5,597.69,493.79,181.36,220.49
2025-11-19,292.81,222.69,354.42,590.32,487.12,186.52,225.53
2025-11-20,289.45,217.14,346.82,589.15,478.43,180.64,210.69
2025-11-21,299.66,220.69,340.2,594.25,472.12,178.88,198.76
2025-11-24,318.58,226.28,377.96,613.05,474.0,182.55,200.28
2025-11-25,323.44,229.67,385.03,636.22,476.99,177.82,197.03
2025-11-26,319.95,229.16,397.57,633.61,485.5,180.26,204.96
2025-11-28,320.18,233.22,402.96,647.95,492.01,177.0,201.95
2025-12-01,314.89,233.88,386.08,640.87,486.74,179.92,200.94
2025-12-02,315.81,234.42,381.57,647.1,490.0,181.46,201.1
2025-12-03,319.63,232.38,380.61,639.6,477.73,179.59,207.73
2025-12-04,317.62,229.11,381.03,661.53,480.84,183.38,214.33
2025-12-05,321.27,229.53,390.24,673.42,483.16,182.41,217.58
2025-12-08,313.72,226.89,401.1,666.8,491.02,185.55,220.54
2025-12-09,317.08,227.92,406.29,656.96,492.02,184.97,221.53
2025-12-10,320.21,231.78,412.97,650.13,478.56,183.78,223.01
2025-12-11,312.43,230.28,406.37,652.71,483.47,180.93,198.85
2025-12-12,309.29,226.19,359.93,644.23,478.53,175.02,189.97
2025-12-15,308.22,222.54,339.81,647.51,474.82,176.29,184.92
2025-12-16,306.57,222.56,341.3,657.15,476.39,177.72,188.65
2025-12-17,296.72,221.27,326.02,649.5,476.12,170.94,178.46
2025-12-18,302.46,226.76,329.88,664.45,483.98,174.14,180.03
2025-12-19,307.16,227.35,340.36,658.77,485.92,180.99,191.97
2025-12-22,309.78,228.43,341.45,661.5,484.92,183.69,198.38
2025-12-23,314.35,232.14,349.32,664.94,486.85,189.21,195.34
2025-12-24,314.09,232.38,350.22,667.55,488.02,188.61,197.49
2025-12-26,313.51,232.52,352.13,663.29,487.71,190.53,197.99
2025-12-29,313.56,232.07,349.39,658.69,487.1,188.22,195.38
2025-12-30,313.85,232.53,349.85,665.95,487.48,187.54,197.21
2025-12-31,313.0,230.82,346.1,660.09,483.62,186.5,194.91
2026-01-02,315.15,226.5,347.62,650.41,472.94,188.85,195.71
2026-01-05,316.54,233.06,343.42,658.79,472.85,188.12,192.59
2026-01-06,314.34,240.93,343.77,660.62,478.51,187.24,193.75
2026-01-07,321.98,241.56,343.5,648.69,483.47,189.11,192.84
2026-01-08,325.44,246.29,332.48,646.06,478.11,185.04,189.65
2026-01-09,328.57,247.38,344.97,653.06,479.28,184.86,198.52
2026-01-12,331.86,246.47,352.21,641.97,477.18,184.94,204.68
2026-01-13,335.97,242.6,354.61,631.09,470.67,185.81,202.29
2026-01-14,335.84,236.65,339.89,615.52,459.38,183.14,193.61
2026-01-15,332.78,238.18,343.02,620.8,456.66,187.05,189.85
2026-01-16,330.0,239.12,351.71,620.25,459.86,186.23,191.09
2026-01-20,322.0,231.0,332.6,604.12,454.52,178.07,179.92
